sense_question,wordnet_sense
break v_say_28,break.v.34
break v_say_29,break.v.35
break v_say_3,break.v.03
break v_say_30,collapse.v.01
break v_say_31,break_dance.v.01
break v_say_32,break.v.38
break v_say_33,break.v.39
break v_say_34,break.v.40
break v_say_35,break.v.41
break v_say_36,break.v.42
break v_say_37,break.v.43
break v_say_38,break.v.44
break v_say_39,break.v.45
break v_say_4,break.v.04
break v_say_40,break.v.46
break v_say_41,pause.v.02
break v_say_42,break.v.48
break v_say_43,break.v.49
break v_say_44,break.v.50
break v_say_45,break.v.51
break v_say_46,break.v.52
break v_say_47,break.v.53
break v_say_48,crack.v.01
break v_say_49,break.v.55
break v_say_5,break.v.05
break v_say_50,break.v.56
break v_say_51,fracture.v.06
break v_say_52,break.v.58
break v_say_6,transgress.v.01
break v_say_7,break.v.07
break v_say_8,break.v.08
break v_say_9,break.v.09
break v_understand_1,interrupt.v.04
break v_understand_10,break.v.10
break v_understand_11,break_in.v.01
break v_understand_12,violate.v.01
break v_understand_13,better.v.01
break v_understand_14,unwrap.v.02
break v_understand_15,break.v.16
break v_understand_16,fail.v.04
break v_understand_17,break.v.20
break v_understand_18,dampen.v.07
break v_understand_19,break.v.22
break v_understand_2,break.v.02
break v_understand_20,break.v.23
break v_understand_21,break.v.25
break v_understand_22,break.v.26
break v_understand_23,break.v.27
break v_understand_24,break.v.28
break v_understand_25,break.v.29
break v_understand_26,separate.v.08
break v_understand_27,bankrupt.v.01
break v_understand_28,break.v.34
break v_understand_29,break.v.35
break v_understand_3,break.v.03
break v_understand_30,collapse.v.01
break v_understand_31,break_dance.v.01
break v_understand_32,break.v.38
break v_understand_33,break.v.39
break v_understand_34,break.v.40
break v_understand_35,break.v.41
break v_understand_36,break.v.42
break v_understand_37,break.v.43
break v_understand_38,break.v.44
break v_understand_39,break.v.45
break v_understand_4,break.v.04
break v_understand_40,break.v.46
break v_understand_41,pause.v.02
break v_understand_42,break.v.48
break v_understand_43,break.v.49
break v_understand_44,break.v.50
break v_understand_45,break.v.51
break v_understand_46,break.v.52
break v_understand_47,break.v.53
break v_understand_48,crack.v.01
break v_understand_49,break.v.55
break v_understand_5,break.v.05
break v_understand_50,break.v.56
break v_understand_51,fracture.v.06
break v_understand_52,break.v.58
break v_understand_6,transgress.v.01
break v_understand_7,break.v.07
break v_understand_8,break.v.08
break v_understand_9,break.v.09
breakfast n_say_1,breakfast.n.01
breakfast v_say_1,breakfast.v.01
breakfast v_say_2,breakfast.v.02
breakfast v_understand_1,breakfast.v.01
breakfast v_understand_2,breakfast.v.02
bring v_say_1,bring.v.01
bring v_say_10,bring.v.11
bring v_say_2,bring.v.02
bring v_say_3,bring.v.03
bring v_say_4,bring.v.04
bring v_say_5,bring.v.05
bring v_say_6,bring.v.06
bring v_say_7,lend.v.01
bring v_say_8,fetch.v.02
bring v_say_9,bring.v.10
bring v_understand_1,bring.v.01
bring v_understand_10,bring.v.11
bring v_understand_2,bring.v.02
bring v_understand_3,bring.v.03
bring v_understand_4,bring.v.04
bring v_understand_5,bring.v.05
bring v_understand_6,bring.v.06
bring v_understand_7,lend.v.01
bring v_understand_8,fetch.v.02
bring v_understand_9,bring.v.10
broken adj_say_1,broken.a.01
broken adj_say_10,broken.s.10
broken adj_say_11,broken.s.11
broken adj_say_12,broken.s.12
broken adj_say_13,broken.s.13
broken adj_say_2,broken.a.02
broken adj_say_3,broken.s.03
broken adj_say_4,broken.a.04
broken adj_say_5,broken.s.05
broken adj_say_6,broken.s.06
broken adj_say_7,broken.s.07
broken adj_say_8,broken.s.08
broken adj_say_9,broken.s.09
broken adj_understand_1,broken.a.01
broken adj_understand_10,broken.s.10
broken adj_understand_11,broken.s.11
broken adj_understand_12,broken.s.12
broken adj_understand_13,broken.s.13
broken adj_understand_2,broken.a.02
broken adj_understand_3,broken.s.03
broken adj_understand_4,broken.a.04
broken adj_understand_5,broken.s.05
broken adj_understand_6,broken.s.06
broken adj_understand_7,broken.s.07
broken adj_understand_8,broken.s.08
broken adj_understand_9,broken.s.09
broken v_say_1,break.v.18
broken v_say_2,break.v.24
broken v_say_3,break.v.30
broken v_say_4,demote.v.01
broken v_say_5,break.v.59
broken v_understand_1,break.v.18
broken v_understand_2,break.v.24
broken v_understand_3,break.v.30
broken v_understand_4,demote.v.01
broken v_understand_5,break.v.59
broom n_say_1,broom.n.01
broom v_say_1,sweep.v.03
broom v_say_2,broom.v.02
broom v_understand_1,sweep.v.03
broom v_understand_2,broom.v.02
brother n_say_1,brother.n.01
brother n_say_2,brother.n.02
brother n_say_3,buddy.n.01
brother n_say_4,brother.n.04
brother n_say_5,brother.n.05
brown adj_say_1,brown.s.01
brown adj_say_2,brown.s.02
brown adj_understand_1,brown.s.01
